areas,audio,category,course_title,dct_price,discount,length,level,new_course_date,number_students,positive_reviews_share,price,reviews,software,subtitles,summary,teacher,teacher_links
"Embroidery,Sewing,","Spanish
",Craft,Embroidery Technique with the Stem Stitch,US$ 19.90,56% Disc.,"1h 19m
",Beginner,No new course,653,100,US$ 44.90,46,,"Spanish
","['\nYou will start by getting to know Gimena, who will show you some of the projects she has done in the past, as well as tell you about some of the artists who inspire her to take the needle. \n\n You will review all the materials you will work with during the course. Gimena will share tips on how to get some of them. \n\n You will learn from scratch to embroider in step back, starting with how to start and finish, always from the front. \n\n You will see how to recognize a loop to be able to measure it and play with it, and then go on to make fillings with continuous loops and spirals. \n\n Next, you will learn to create separation in your embroidery only through texture. \n\n You will discover that in this type of embroidery, the reliefs also matter; therefore, you will learn how to make simple reliefs, reliefs by area and pronounced reliefs, all of them in hook. \n\n A good embroidery does not neglect the reverse of the piece, something that Gimena will make very clear to you teaching you to keep the reverse of your embroidery tidy; this way you will learn to see the shadow as one more resource. \n\n Finally, you will review each and every one of the variants of the step back, showing the final project almost complete.\n', '\nYou will create an entire embroidery at a single point with its variants. \n \n']",Gimena Romero,"https://www.domestika.org/en/login.js?scope=courses&target=548-embroidery-technique-with-the-stem-stitch,https://domestika.org/gimenaromero,https://facebook.com/EstudioGimenaRomero,https://twitter.com/gimenaromero,https://instagram.com/gimenaromero"
"Complement Design,Embroidery,Interior decorating,Interior Design,","Spanish
",Craft,Macramé: Basic and Complex Knots,NA,71% Disc.,"1h 15m
",Beginner,No new course,590,100,US$ 44.90,17,,"Spanish
","['\nMariella will begin by telling you a little more about her and how she started in textile art. He will also tell you about his influences and how he relies on them to make his pieces. \n\n It will show you its creative process and the tools it uses when designing. In addition, it will provide additional resources, such as various Instagram accounts that you can follow and thus, get inspiration in your day to day. \n\n Mariella will give you a presentation of the basic materials she uses, and she will explain what characteristics you should look for when selecting them. Later, he will talk about the basic knots, the complexes and how it is possible to mix them to get a wider variety of stitches. \n\n Now is your turn! You will select your material and begin to start practicing with it, making basic knots and experimenting with the result depending on the material in question. Once you have it, you can mix them following some examples. You can practice everything you want and need, practice makes perfect! \n\n Next, you will design a loom making a sketch of what you have in mind and then calculate the necessary thread to carry it out. You will assemble and prepare your threads, cutting them and putting them in their support to start the weaving process. You will start at the top, where you will make a braid. Then you will weave the lower part of the loom combining basic knots with a more complex stitch that will be explained by Mariella, and adding some more details with the San Agustín knot. \n\n  \n\n Mariella will share some basic care to apply to your loom. It is a unique piece handmade by you, therefore you must take care of it and finish it with dedication. \n\n To finish, you will know other ways to apply the technique of macramé in different products. It will be a starting point for you to start thinking about the endless possibilities that exist: the limit is heaven.\n', '\nYou will make a decorative textile macrame carpet, a decorative piece to hang 90 cm wide x 1.20 m high, weaving and combining different types of knots, both basic and complex. \n\n']",Mariella Motilla,"https://www.domestika.org/en/login.js?scope=courses&target=597-macrame-basic-and-complex-knots,https://domestika.org/mariellamotilla,https://facebook.com/mariellamoti,https://instagram.com/mariellamoti,https://www.pinterest.com/mariellamotilla,https://www.linkedin.com/in/mariella-motilla-b27473b3/"
"Ceramics,Complement Design,Crafts,Fine Art,","Spanish
",Craft,Ceramics at Home for Beginners,US$ 19.90,56% Disc.,"3h 51m
",Beginner,No new course,972,100,US$ 44.90,31,,"Spanish
","['\nYou will begin by getting to know Paula, her trajectory within the Fine Arts, teaching and ceramics. It will show you some pieces of his collection with very varied styles and then present some of his main influences. \n\n You will know the materials with which you will work, the types of clay, what you need to make plaster molds and the different enamels to decorate your pieces. \n\n You will see the importance of recycling the mud that is left over properly and you will learn how to make your basic plaster mold at home, which you can reuse as often as you want to create different ceramic pieces. \n\n Now, get to work! Together with Paula and using the previously made plaster mold, you will create the base and bowl of your first set using the plate modeling technique. You will continue with the second set, which will be purely decorative, applying the technique of modeling with churros. \n\n You will continue with the third set for which you will not need mold, since you will apply the pinch technique. And to finish the modeling phase, you will do the fourth set repeating the same design as the previous ones, with the difference that it will be larger and you will learn to add different textures to the pieces. \n\n You will learn different decorative clay techniques, how they are used and when it is convenient to apply them. First, you will know two methods of decorating the clay that dries in the air. Then, you will discover the enamels in suspension, the decorative technique of gold luster, the technique of oxides or ""marble effect"", and the enamel method with gouache. \n\n Finally you will let your imagination fly and you will see the infinite possibilities of use that each of the sets made during the course have. And to preserve your pieces, Paula will give you valuable tips to take care of each one of them on a daily basis and how to transport them. \n\n', '\nYou will make four sets with a mushroom shape. The first three applying the three basic techniques of modeling clay and three techniques of enameling, resulting in different dishes for different uses (breakfast, jewelry, etc.). The fourth set will be of fabric and you will apply the technique of the plates, but adding textures, and a different technique of enameling. \n\n \n']",Paula Casella Biase,"https://www.domestika.org/en/login.js?scope=courses&target=569-ceramics-at-home-for-beginners,https://domestika.org/paulacasellabiase,https://facebook.com/bambucitoceramica,https://twitter.com/Banbucito ,https://instagram.com/Bambucito.Ceramica,https://www.pinterest.com/Bambucito.Ceramica,http://www.bambucito.com/"
"Complement Design,Crafts,Interior decorating,Interior Design,Product Design,Sewing,","Spanish
",Craft,Introduction to Macramé: Creation of a Decorative Tapestry,US$ 14.90,67% Disc.,"2h 11m
",Beginner,No new course,2990,99,US$ 44.90,186,,"Spanish
","['\nBelén considers herself a nomadic craftswoman and spends much of her time traveling and learning old techniques to work textiles in a decorative way; for that reason, you will begin knowing its influences and the elements to which it pays special attention to carry out its work. \n\n You will explore together the different decorative styles and create a moodboard that will help you inspire you when creating your macramé piece. \n\n Then, you will be presented with the essential materials that you must have on hand to create your macrame tapestry and it will show you some more unexpected elements that you can incorporate into your pieces. \n\n Once you have clear materials and ideas for your macramé piece, Belén will explain your design process, discover the correct way to take measurements and show you how to make different knots. \n\n It will be then when you get down to work and begin to shape your macrame tapestry. Belén will give you some advice on how to define the parts of the piece and will reveal some secrets to provide dynamism and complete your tapestries. \n\n \n', '\nYou will design and create a macramé tapestry with your own style based on visual references selected by you.\n']",Belen Senra,"https://www.domestika.org/en/login.js?scope=courses&target=263-introduction-to-macrame-creation-of-a-decorative-tapestry,https://domestika.org/belensenra,https://facebook.com/ranrandesign,https://instagram.com/belensenra,https://www.pinterest.com/ranrandesign,https://www.linkedin.com/in/belen-senra-18046644/,http://www.ranrandesign.com/"
"Creativity,Embroidery,","Spanish
",Craft,Creative Embroidery: The Stich Revolution,NA,67% Disc.,"2h 41m
",Beginner,No new course,1184,100,US$ 44.90,75,,"Spanish
","['\nYou will begin by getting to know Trini Guzmán. He will tell you about his beginnings, how he got to dedicate himself to embroidery, his most important works and main references and inspirations. \n\n You will quickly move on to a creative research phase to identify the path you want to explore with embroidery. Hello Leon will talk to you about the importance of being good with yourself to give yourself the time and space to learn. \n\n You will discover the materials and their possibilities to enrich the embroidery with textures, reliefs and contrasts. And you\'ll have your first approach to a rack to experience and relate to the elements. \n\n Then you will incorporate to your research the favorite stitches of Hola León mixing materials. The objective will be to decontextualize the embroidery and admire from another perspective the technique and the elements to obtain modern and unique results. \n\n Once the creative research is done and familiar with the materials, you will choose the garment that you want to intervene. You will see how to make a design and where to locate it so that it really shows what you want to convey. \n\n To finish, you will apply the embroidery stitches to intervene your garment with your design by the hand of Hola León. \n', '\nYou will create a unique embroidery that you will apply to a garment or whatever you want. \n \n']",Trini Guzmán (holaleon),"https://www.domestika.org/en/login.js?scope=courses&target=505-creative-embroidery-the-stich-revolution,https://domestika.org/holaleon,https://instagram.com/holaleon,http://www.triniguzman.com/"
"Embroidery,Textile illustration,","Spanish
",Craft,Introduction to Latch Hooking and Locker Hooking,US$ 19.90,56% Disc.,"2h 2m
",Beginner,No new course,918,98,US$ 44.90,50,,"Spanish
","['\nMariana will begin by explaining how she became a textile artist, will make a brief review of her beginnings teaching her most important projects and will explain to you how her creation process is. You will discover what your aesthetics are like, what your artistic references are and will provide you with some tips to get inspiration. \n\n You will stroll through the incredible work of textile artists, whose techniques of weaving and embroidery are of the most varied. You will review all of them, learning the infinite possibilities offered by the process of textile creation. You will see that many of the techniques are complementary and that in short, everything adds up! \n\n You will learn more about the latch hook , what it is and what were the beginnings of this technique: how it started, where it happened, how it has evolved ... In addition, it will explain what tools and materials to use, like needles, yarns, fabrics or wool. \n\n You will acquire basic knowledge about color composition, chromatic harmony or textures, which will later serve you for future projects. You can do tests and experiment with different materials that you can have at home, or on the contrary, you decide to buy. The teacher will provide different pages to find everything you need. \n\n Once you have all the material, you can start sketching an idea and then pass it on to the canvas. Mariana will guide you through the creative process and will explain how to handle, combine and cut materials. \n\n Once you have the pattern, you can get down to work with the latch hook . Not only will you learn to master this technique, Mariana will teach you a complementary one, the hook locker . You will experiment with these two types of hooks, to see the possibilities offered by each one, and of course, the result. \n\n To finish, the teacher will give you some final advice and will open a little more the spectrum of possibilities covered by the latch hooking : more options, more materials and more uses. The goal is to inspire you and that you can generate unique pieces full of life. \n\n With everything learned, at the end of the course you will be able to carry out unique and expressive textile pieces with total autonomy.\n', '\nYou will design and create a decorative tapestry, using the weaving technique latch hooking . You can apply a complementary technique to your piece, the locker hooking . \n \n']",Mariana Baertl,"https://www.domestika.org/en/login.js?scope=courses&target=598-introduction-to-latch-hooking-and-locker-hooking,https://domestika.org/marianabaertl,https://facebook.com/Livingfibers,https://instagram.com/livingfibers,https://www.pinterest.com/livingfibers,https://www.livingfibersart.com/"
"Complement Design,Costume Design,Embroidery,Fashion,Fashion Design,Fine Art,Product Design,Sewing,Shoe Design,Textile illustration,","Spanish
",Craft,"Basic Embroidery Techniques: Stitches, Compositions and Colour Ranges",US$ 19.90,56% Disc.,"2h 39m
",Beginner,No new course,7132,100,US$ 44.90,490,,"Spanish
","['\nYou will begin by getting to know the work and influences of Miss Lylo as well as some reference books from the world of embroidery. \n\n Next you will know the types of threads, fabrics and materials that are used in this technique. Then you will learn the basic points of embroidery, both planes and relief as the sand point, the stem point, the rosette point or the picot point. \n\n Once you are familiar with the basics, you will choose and design your own shirt collar according to the types of fabric, the use of markers and the most appropriate color palette. \n\n Then you will embroider a natural landscape with mountains, trees, leaves and raindrops combining different points, symmetrical and asymmetrical embroideries and small details that will enrich the project. \n\n Finally, Miss Lylo will talk about other applications of embroidery such as pockets, slippers, hats or coasters and the care needed to wash embroidery.\n', '\nThe final project of the course is to design, compose and embroider your own shirt collar. Combining all the knowledge learned: points, thread types and the design you have chosen. \n\n \n']",Señorita Lylo,"https://www.domestika.org/en/login.js?scope=courses&target=100-basic-embroidery-techniques-stitches-compositions-and-colour-ranges,https://domestika.org/srtalylo,https://facebook.com/SrtaLylo,https://twitter.com/srtalylo,https://instagram.com/srtalylo,https://www.pinterest.com/Srtalylo,https://es.linkedin.com/in/lolyghirardi,http://srtalylo.tumblr.com/"
"Crafts,Jewelry Design,","Spanish
",Craft,Creation of Textile Jewelry,NA,71% Disc.,"3h 4m
",Beginner,No new course,736,100,US$ 44.90,29,,"Spanish
","['\nMaría will introduce herself and explain to you how María La Biyux came to create, a textile accessories project based on a social model. He will tell you about his interests, about what inspires her and what moves her. \n\n You will review all the materials you will need during the course. You will define for what and who this textile piece will be and you will visualize its colors according to the qualities of the person. Maria will tell you about the colorimetry and about the deep connection that each of her pieces has with the color. \n\n You will start making a textile accessory. You will cut and stretch the fabrics, folding them in half to transform them into your warps. Mary will explain what they are and guide you to create them. In the process he will also talk about rhythm and visual weight. You will learn to make a curve so that the collar is circular, and for this you must get three types of tensions (high, medium and low). You will finish by closing the necklace. \n\n You will increase complexity, making a textile accessory of 2 colors and 16 warps (or strands). The challenge will be to have the same elasticity in the two types of fabric and achieve equalization. \n\n Finally, you will make a single-colored textile necklace with 14 strands. It will be the most complex, since you must be very attentive to the order and quantity of threads that you must weave, without having the color as a guide, simply all your attention in the weaving process. \n\n \n', '\nYou will create a unique 12-strand, hand-woven textile necklace. You will work the tension of the fabric in three different degrees of complexity to finally see a possible variant and experiment with everything learned.\n']",Maria La Biyux,"https://www.domestika.org/en/login.js?scope=courses&target=529-creation-of-textile-jewelry,https://domestika.org/marialabiyux,https://instagram.com/marialabiyux,https://www.linkedin.com/in/mar%C3%ADa-jos%C3%A9-aguirre-53032537/,https://www.marialabiyux.com/"
"Embroidery,Painting,Textile illustration,Watercolor painting,","Spanish
",Craft,Embroidery and Watercolor Basic Techniques,US$ 19.90,56% Disc.,"1h 50m
",Beginner,No new course,447,94,US$ 44.90,16,,"Spanish
","['\nYou will start by knowing Katy, her career in the world of arts and, specifically, in embroidery. You will know some of its influences, from the almost anonymous work of people in India to artists like Picasso and Matisse. \n\n Your creative process will begin with an idea. Katy will tell you about how and where she gets inspiration for her pieces and how she chooses and combines the colors she uses. \n\n Then you will take a tour of the materials you will use to create your project, both those that you will use to paint and those that you will use to embroider. \n\n You will do your first basic watercolor tests on paper to release your hand and lose your fear of the technique. You will also discover what happens when you add acrylic ink to your composition before making the sketch of your final piece. \n\n Then you will move from paper to fabric, learning the basic techniques to paint with watercolor on a frame. \n\n From watercolor you will make the leap to embroidery, practicing some textures and dots on the frame you painted before. You will apply basic stitches, knots and dusters. \n\n Once your work is finished, you will learn to give it a more professional finish by sewing the fabric through the back of the frame, before hanging it on a wall. \n\n Finally, Katy will give you some maintenance tips to clean the fabric and keep your piece in optimal condition.\n', '\nYou will create an artistic piece combining watercolor and embroidery in thread or wool, using basic stitches, in a frame with 15 cm fabric. \n \n']",Katy Biele,"https://www.domestika.org/en/login.js?scope=courses&target=671-embroidery-and-watercolor-basic-techniques,https://domestika.org/katybiele,https://facebook.com/Katy-Biele-725620184227847,https://instagram.com/katybiele,https://www.katybiele.com/"
"Complement Design,Embroidery,Fashion Design,Jewelry Design,","Spanish
",Craft,Embroidery and Accessories Customization,US$ 19.90,56% Disc.,"1h 34m
",Beginner,No new course,178,100,US$ 44.90,4,,"Spanish
","['\nYou will know the work of Josefina and her professional career as a plastic artist in the world of crafts and textile art. In addition, you will see its main influences and elements of nature that serve as inspiration. \n\n You will start by looking at the materials that you can apply to your embroidery to take advantage of everything you have around and give it a second chance. You will see why Josefina chose the vegetable fiber over other types of fabric and you will choose the vegetable or textile accessory that you want to embroider. \n\n Then you will know all the tools you will need to complete the course project. Thus, you will see the different types of needles with pointed, sewing and embroidery, embroidery and crochet threads, ribbons, pearl threads, wool, scissors and the accessory that you will embroider. \n\n Josefina will explain the basic embroidery points and give you professional advice so you can easily master them. First you will learn the French knot, long and short stitches with different textures and movements, bangs point, how to put firm mostacillas one by one and, finally, you will learn to add any material to your piece, to integrate them and combine them with total freedom. \n\n Finally, you will apply everything learned to work the objects to intervene without rules or limits, giving free rein to your imagination with the sole objective of enjoying the process and creating spectacular pieces. \n\n', '\nYou will embroider a wallet and earrings made of vegetable fiber or any other textile material that you want to intervene. The idea is to recycle something that you no longer use and give a second life or value to that object with embroidery. \n \n']",Josefina Allendes,"https://www.domestika.org/en/login.js?scope=courses&target=610-embroidery-and-accessories-customization,https://domestika.org/josefinaallendes,https://facebook.com/josefinaallendes,https://instagram.com/josefinaallendes,https://www.pinterest.com/allendescorrea,https://www.linkedin.com/in/mar%C3%ADa-josefina-allendes-correa-41a6a4133/,http://www.josefinaallendes.com/"
"Ceramics,Complement Design,Jewelry Design,","Spanish
",Craft,Introduction to Ceramic Jewelry,US$ 19.90,56% Disc.,"1h 23m
",Beginner,No new course,212,100,US$ 44.90,1,,"Spanish
","['\nYou will start knowing more about Juliet, she will briefly explain her professional career and how she created her ceramic jewelry firm. You will also see what their artistic references have been inside and outside the ceramics. \n\n You\'ll get down to work by creating a moodboard with images, words, materials and anything that inspires you or that can influence you in the conceptualization process. \n\n Julieta will make a presentation of the materials to create ceramic jewelry, reviewing the main characteristics of each one. \n\n Once you have your ideas, you will start to sketch with the mud. You will create three pieces of jewelry from the same collection. To do this, you will sketch various sizes, formats and views of the pieces. Create freely and explore the limits of the material and your creativity. \n\n Once you have all the pieces outlined, you will choose and touch up your favorites to structure your collection. \n\n You will learn the basic modeling techniques and start modeling at last. Then, you will sponge and finish the finishing of the pieces. \n\n Then you will see how to use the ceramic oven. Julieta will explain to you that there are two baking processes: in the first one you will squash the pieces. Once biscuit, glaze the pieces. You will know the different enamels and learn techniques to apply them. Right after is when the second baking process will come and finally, you will add the latest fittings to your creations. \n\n Finally, you will see how to protect your jewelry to last. In addition, you will receive some advice on packaging to prepare a package and secure your creations to send them safely and with an unbeatable presentation.\n', '\nYou will make three pieces of ceramic jewelry of free inspiration, going through the entire creative process, from conceptualization to creation. You will create a bracelet, a pendant and earrings using the plate technique. \n \n']",Julieta Alvarez,"https://www.domestika.org/en/login.js?scope=courses&target=753-introduction-to-ceramic-jewelry,https://domestika.org/julieta_alvarez,https://facebook.com/J.A.Taller,https://instagram.com/julieta_alvarez_,https://www.pinterest.com/jareferencias,https://es.linkedin.com/in/julietaalvarez,https://julietaalvarez.com/"
"Embroidery,Illustration,Sewing,Textile illustration,","Spanish
",Craft,Painting with Thread: Textile Illustration Techniques,NA,73% Disc.,"3h 10m
",Beginner,No new course,5893,99,US$ 44.90,303,,"Spanish
","['\nYou will begin knowing the work of Gimena, who will also tell you about the necessary materials to get started in embroidery and will show you some of her favorite projects made with the technique of painting with thread. \n\n Then he will explain how to transfer the pattern to the fabric and show you how to prepare the frame to start embroidering. \n\n Gimena will give you some very useful tips to create a color palette, paying special attention to how it reacts in embroidery. Using the satin point, which Gimena will teach you how to make, you will discover the basic concepts of color theory applied to embroidery, through a chromatic circle. \n\n You will learn to manage the direction of the stitches and the color to give volume to your works, to create gradients with threads of different tonalities and to fill with realism to the smallest detail of your embroidered illustrations. \n\n \n', '\nYou will make an embroidery from a series of patterns inspired by a real model.\n']",Gimena Romero,"https://www.domestika.org/en/login.js?scope=courses&target=303-painting-with-thread-textile-illustration-techniques,https://domestika.org/gimenaromero,https://facebook.com/EstudioGimenaRomero,https://twitter.com/gimenaromero,https://instagram.com/gimenaromero,https://www.pinterest.com/gimenaromero,http://gimenaromero.net/"
"Tattoo Design,","Spanish
",Craft,Tattoo for Beginners,NA,67% Disc.,"3h 1m
",Beginner,No new course,1811,100,US$ 44.90,56,,"Spanish
","['\nYou will meet Florencia Landaeta, better known as Tattoo Moth, who will tell you about how she started in the fascinating world of tattooing after studying design, and she will show you her main personal references, from designers to tattoo artists that inspire her every day. \n\n You will review the history of the tattoo and learn how it began, the different types, styles and their evolution to this day. \n\n Florencia will teach you how to assemble your first basic or professional kit to start tattooing. Thus, you will know in detail all the materials you need: what machines are there, the types of tools, needles and elements and essential information for tattooing, as well as giving you some personal recommendations based on your experience. \n\n You will learn about the different types of skin and the anatomical considerations that you must have to adapt the design to the area of the body. Next, you will see the exact steps to create the design, prepare it to apply it to the skin and, of course, assemble and sterilize your table before tattooing to avoid cross contamination. \n\n You will transfer the design to the surface to learn the techniques of delineation, filling, pointillism in different ways and shading techniques considering materials, voltage and wrist movements to achieve the results you are looking for. \n\n You will see how to disassemble the table correctly, following maintenance and hygiene guidelines and, finally, you will learn several recommendations to advise your client before and after getting a tattoo. \n', '\nYou will make a tattoo on an orange, which will allow you to approach directly to how you would do with real skin, to start your own path in the world of tattooing. \n \n']",Polilla Tattoo,"https://www.domestika.org/en/login.js?scope=courses&target=528-tattoo-for-beginners,https://domestika.org/polillatattoo,https://facebook.com/polillatattoo,https://instagram.com/polillatattoo"
"Art Direction,Interior Architecture,Interior decorating,Interior Design,","Spanish
",Architecture & Spaces,Introduction to Interior Design,NA,67% Disc.,"1h 26m
",Beginner,No new course,10773,95,US$ 44.90,449,,"Spanish
","['\nAna will show you how they carried out the process of executing one of her most beloved projects: the Valencia Lounge Hostel. \n\n You will begin by discovering the relationship of the interior designer with the client and the way to transform a briefing into a workshop. \n\n With the plans on the table you will know how Ana and Christophe work on the space according to the needs of each project to fill each of the environments with life. \n\n Next, you will learn to differentiate lifestyles and the best way to apply them to each space depending on the project you have in hand. \n\n  \n\n Many of Masquespacio\'s projects are intimately related to the DIY philosophy (""do it yourself"", ""do it yourself""); Ana will give you good ideas to get unexpected materials for your interior design projects. \n\n One of the premises of Masquespacio at the time of approaching a project, beyond the aesthetic and functional side, is that each corner must connect with the user and tell his own story. That is why, once you have learned to define the concept of your project and have selected the materials, you will immerse yourself fully in the storytelling of the space you want to design. \n\n  \n\n', '\nOnce you finish the course you will have the necessary tools to immerse yourself in your own interior design project and you will get a lot of ideas that will help you to redesign your studio, your office or your home, showing that it is possible to obtain incredible results using everyday materials and with limited resources.\n']",Masquespacio,"https://www.domestika.org/en/login.js?scope=courses&target=208-introduction-to-interior-design,https://domestika.org/masquespacio,https://facebook.com/MasquespacioDisenoDemocratico,https://twitter.com/masquespacio,https://instagram.com/masquespacio_ana,http://masquespacio.com/en/"
"Crafts,Furniture Design,","Spanish
",Craft,Professional Woodworking for Beginners,US$ 14.90,67% Disc.,"4h 1m
",Beginner,No new course,665,90,US$ 44.90,10,,"Spanish
","['\nThe first thing you will do will be to meet Patricio Ortega, who will tell you how he went from architecture to carpentry and how the Maderística workshop was born under the concept of ""author carpentry"". He will also tell you about his influences, some very personal and others from his initial profession, architecture. \n\n You will know everything about the different materials you will need to work the wood. You will see the origin of the plywood board, the dimensions that it must have and you will make a cutting list that consists of ordering the pieces by size and thickness, with a series of useful tips. \n\n Patricio will show you in detail all the tools you will use in this course, differentiating between essential and optional or complementary. \n\n You will understand the work counter as another tool and you will learn to use a milling machine, a jigsaw and a circular saw, understanding its origin, function and importance. \n\n You will define the general dimensions of the stool to your liking and cut the pieces that make up the furniture with the circular saw. Following the basic rules to create this piece perfectly, you will make the design of the legs and draw the template, then cut them with the jig and remove the excess. \n\n You will learn to mark the axes on the seat piece, and you will make the cut with the manual milling machine to achieve a more precise result. Then, Patricio will teach you how to make the guide for the cross-fitting, and in a similar process, you will make the cut of the seat box and adjust the tang of the box to fit it in the seat. \n\n Finally, Patricio will share Maderística techniques to achieve a perfect finish, adding details and repairing imperfections. You will assemble the stool and ... voila! You already have a stool made with your own hands and enough knowledge to work the wood like a professional. \n', '\nYou will build a 3-piece stool with half-wood inserts and cross-shaped spike on the seat. \n \n']",Patricio Ortega (Maderística),"https://www.domestika.org/en/login.js?scope=courses&target=557-professional-woodworking-for-beginners,https://domestika.org/maderistica,https://facebook.com/maderisticafanpage,https://twitter.com/maderistica,https://instagram.com/maderistica,https://www.pinterest.com/maderistica,https://www.maderistica.cl/"
"Design,Illustration,Lettering,Typography,","Spanish
",Calligraphy & Typography,By Hand and On The Cover,US$ 11.90,73% Disc.,"2h 28m
",Beginner,No new course,644,91,US$ 44.90,32,,"Spanish
","['\nSearch of references of the world of illustration, lettering and drawing of letters and everything that can inspire us and lead us to the development of sketches. \n\n Explanation of the necessary materials and their use with various techniques of ink drawing, creation of textures and practices on different supports \n\n Techniques and tricks step by step to take our drawings to the digital environment, scan and organize, color and compose in Photoshop. \n\n Final summary including each step taken. Share the project Participate in the forum of the course. \n\n  \n \n']",Sergio Jiménez,"https://www.domestika.org/en/login.js?scope=courses&target=5-by-hand-and-on-the-cover,https://domestika.org/subcoolture,https://facebook.com/Subcoolture,https://twitter.com/subcoolture,https://es.linkedin.com/in/subcoolture,http://www.subcoolture.com/"
"Animation,Art Direction,Film Title Design,Film, Video & TV,Typography,","Spanish
",Calligraphy & Typography,Credit Titles: Typography and Cinema,NA,78% Disc.,"1h 37m
",Beginner,No new course,70,100,US$ 44.90,3,"Adobe After Effects,,,Adobe Illustrator,,,Adobe Photoshop,","Spanish
","['\nYou will begin by getting to know the work of José Luis Coyotl, his personal history, his passion for design and typography and his main influences. \n\n Next, you will learn the most important technical and narrative concepts for the creation of credit titles, such as the script, time, structure, motion design, formats and display ranges. \n\n You will see the importance of the image in the design of credits as a generator of graphic language in audiovisual pieces, typography and how it can be applied in sequences for film and television. \n\n Afterwards, you will choose a movie to work on your own credit titles, José Luis will choose Alfred Hitchcock\'s ""Psycho"", but you can choose the one you like the most. You will analyze its theme, narrative elements and technical aspects. \n\n José will show you his process to define a concept and create a moodboard, to then develop compositions in a set of styleframes, which will allow you to visualize the final sequence and the elements that comprise it: the color, the setting, the type of shots and the Graphic treatment of the elements. \n\n Once the concept is closed, in the production stage, you will learn about José Luis\' process to develop it and, subsequently, you will see how to bring all this to a final motion test.\n', '\nYou will design the sequence of credits of an iconic film; the teacher will perform the ""Pshycho"" by Alfred Hitchcock but you can choose the one you want. \n\n \n']",José Luis Coyotl Mixcoatl,"https://www.domestika.org/en/login.js?scope=courses&target=442-credit-titles-typography-and-cinema,https://domestika.org/jlcoyotlm,https://twitter.com/CoyotlMixcoatl,https://instagram.com/jlcoyotlm,https://www.pinterest.com/jlcoyotlm,jlcoyotlm.myportfolio.com"
"Calligraphy,Lettering,Typography,","Spanish
",Calligraphy & Typography,Introduction to Ink Lettering,US$ 19.90,56% Disc.,"2h 16m
",Beginner,No new course,28,100,US$ 44.90,3,,"Spanish
","['\nYou will start by knowing Marianna, who will take you on a tour of the studies she has taken and her career in the world of letters. She will tell you some of her calligraphy and lettering , and show you some of the professionals who inspired her to follow the path of the letters. \n\n You will lay the foundations by briefly learning what lettering and exploring compositions with ink by hand. You will discover some of the styles and types of letters you can use. \n\n Next, Marianna will tell you in detail about each of the materials and tools you will use during the course. \n\n You will discover simple exercises to warm your hand and get used to the pencil and paper. These exercises will help you train your eye with respect to the black and white of the letters, as well as the spacing between letters and words. \n\n You will start working on your project by choosing a phrase with which you connect and you will sketch it with different fonts until you get the form that convinces you. Marianna will explain different techniques to create different widths, contrasts, fillings, etc. \n\n You will pass your sketch to the final paper of high grammage in pencil, expanding your sentence to the desired size. \n\n You will learn to make some effects with ink: gradient, borders, blends of colors and shadows before inking your design on the final paper. \n\n Marianna will teach you to digitize your composition and correct errors, colors and lighting of your piece in Adobe Photoshop and leave your piece ready for printing. \n\n Finally, you will learn some possible printing techniques to translate your phrase into a tote bag .\n', '\nYou will draw a phrase in ink that you will then stamp on a tote bag . \n \n']",Marianna Rezk Timcke,"https://www.domestika.org/en/login.js?scope=courses&target=591-introduction-to-ink-lettering,https://domestika.org/mariannarezk,https://facebook.com/mariannarezk,https://twitter.com/mariannarezk,https://instagram.com/mariannarezk,https://www.linkedin.com/in/mariannarezk,http://www.mariannarezk.com/"
"Design,Graphic Design,Typography,","Spanish
",Calligraphy & Typography,Classy Fonts,US$ 12.90,71% Disc.,"1h 47m
",Intermediate,No new course,937,97,US$ 44.90,68,"Adobe Illustrator,","Spanish
","['\nExcellent multimedia material and documentation distributed in several units. \n\n Throughout the course we will discuss references and designers of interest. We will make a brief introduction to the typography, classification, parts of the letter and elements that compose it. We will see examples of where we want to go in addition to discover different methods to draw the letter. Then we will analyze several examples of modular typefaces to see how to deal with a project of this type. We will also see how to digitize our project and how to create the Illustrator document to be able to pass our type to Fontlab without problems. We will discover more in depth the tools necessary to work our typography in Fontlab. And finally, we will learn to export the file in order to install our typography on the computer.\n', '\nThe final (voluntary) exercise consists of applying this new typography to a specific project. \n\n \n']",Wete,"https://www.domestika.org/en/login.js?scope=courses&target=13-classy-fonts,https://domestika.org/wete,https://facebook.com/juanrar,https://twitter.com/ultratypes,https://es.linkedin.com/pub/juanra-pastor-rovira/26/bb4/175,http://www.wetecacahuete.com"
